,azimuth,elevation,radius
0,0.0,-90.0,1.2
1,0.0,-81.0,1.2
2,0.0,-75.0,1.2
3,0.0,-64.8,1.2
4,0.0,-60.0,1.2
5,0.0,-54.0,1.2
6,0.0,-45.0,1.2
7,0.0,-35.3,1.2
8,0.0,-30.0,1.2
9,0.0,-25.0,1.2
10,0.0,-17.5,1.2
11,0.0,-15.0,1.2
12,0.0,0.0,1.2
13,0.0,15.0,1.2
14,0.0,17.5,1.2
15,0.0,25.0,1.2
16,0.0,30.0,1.2
17,0.0,35.3,1.2
18,0.0,45.0,1.2
19,0.0,54.0,1.2
20,0.0,60.0,1.2
21,0.0,64.8,1.2
22,0.0,75.0,1.2
23,0.0,90.0,1.2
24,5.0,-81.0,1.2
25,5.0,-75.0,1.2
26,5.0,-64.8,1.2
27,5.0,-60.0,1.2
28,5.0,-54.0,1.2
29,5.0,-45.0,1.2
30,5.0,-35.3,1.2
31,5.0,-30.0,1.2
32,5.0,-25.0,1.2
33,5.0,-17.5,1.2
34,5.0,-15.0,1.2
35,5.0,0.0,1.2
36,5.0,15.0,1.2
37,5.0,17.5,1.2
38,5.0,25.0,1.2
39,5.0,30.0,1.2
40,5.0,35.3,1.2
41,5.0,45.0,1.2
42,5.0,54.0,1.2
43,5.0,60.0,1.2
44,5.0,64.8,1.2
45,5.0,75.0,1.2
46,10.0,-81.0,1.2
47,10.0,-75.0,1.2
48,10.0,-64.8,1.2
49,10.0,-60.0,1.2
50,10.0,-54.0,1.2
51,10.0,-45.0,1.2
52,10.0,-35.3,1.2
53,10.0,-30.0,1.2
54,10.0,-25.0,1.2
55,10.0,-17.5,1.2
56,10.0,-15.0,1.2
57,10.0,0.0,1.2
58,10.0,15.0,1.2
59,10.0,17.5,1.2
60,10.0,25.0,1.2
61,10.0,30.0,1.2
62,10.0,35.3,1.2
63,10.0,45.0,1.2
64,10.0,54.0,1.2
65,10.0,60.0,1.2
66,10.0,64.8,1.2
67,10.0,75.0,1.2
68,12.799999999999997,-64.8,1.2
69,12.799999999999997,-35.3,1.2
70,12.799999999999997,-17.5,1.2
71,12.799999999999997,17.5,1.2
72,12.799999999999997,35.3,1.2
73,12.799999999999997,64.8,1.2
74,12.800000000000011,-81.0,1.2
75,12.800000000000011,-54.0,1.2
76,12.800000000000011,-25.0,1.2
77,12.800000000000011,25.0,1.2
78,12.800000000000011,54.0,1.2
79,13.3,-75.0,1.2
80,13.3,-60.0,1.2
81,13.3,-45.0,1.2
82,13.3,-30.0,1.2
83,13.3,-15.0,1.2
84,13.3,0.0,1.2
85,13.3,15.0,1.2
86,13.3,30.0,1.2
87,13.3,45.0,1.2
88,13.3,60.0,1.2
89,13.3,75.0,1.2
90,13.300000000000011,-81.0,1.2
91,13.300000000000011,-54.0,1.2
92,13.300000000000011,-25.0,1.2
93,13.300000000000011,25.0,1.2
94,13.300000000000011,54.0,1.2
95,15.0,-81.0,1.2
96,15.0,-75.0,1.2
97,15.0,-64.8,1.2
98,15.0,-60.0,1.2
99,15.0,-54.0,1.2
100,15.0,-45.0,1.2
101,15.0,-35.3,1.2
102,15.0,-30.0,1.2
103,15.0,-25.0,1.2
104,15.0,-17.5,1.2
105,15.0,-15.0,1.2
106,15.0,0.0,1.2
107,15.0,15.0,1.2
108,15.0,17.5,1.2
109,15.0,25.0,1.2
110,15.0,30.0,1.2
111,15.0,35.3,1.2
112,15.0,45.0,1.2
113,15.0,54.0,1.2
114,15.0,60.0,1.2
115,15.0,64.8,1.2
116,15.0,75.0,1.2
117,17.1,-64.8,1.2
118,17.1,-35.3,1.2
119,17.1,-17.5,1.2
120,17.1,17.5,1.2
121,17.1,35.3,1.2
122,17.1,64.8,1.2
123,17.100000000000023,-81.0,1.2
124,17.100000000000023,-54.0,1.2
125,17.100000000000023,-25.0,1.2
126,17.100000000000023,25.0,1.2
127,17.100000000000023,54.0,1.2
128,18.0,-64.8,1.2
129,18.0,-35.3,1.2
130,18.0,-17.5,1.2
131,18.0,17.5,1.2
132,18.0,35.3,1.2
133,18.0,64.8,1.2
134,18.399999999999977,-81.0,1.2
135,18.399999999999977,-54.0,1.2
136,18.399999999999977,-25.0,1.2
137,18.399999999999977,25.0,1.2
138,18.399999999999977,54.0,1.2
139,18.4,-64.8,1.2
140,18.4,-35.3,1.2
141,18.4,-17.5,1.2
142,18.4,17.5,1.2
143,18.4,35.3,1.2
144,18.4,64.8,1.2
145,19.0,-81.0,1.2
146,19.0,-64.8,1.2
147,19.0,-54.0,1.2
148,19.0,-35.3,1.2
149,19.0,-25.0,1.2
150,19.0,-17.5,1.2
151,19.0,17.5,1.2
152,19.0,25.0,1.2
153,19.0,35.3,1.2
154,19.0,54.0,1.2
155,19.0,64.8,1.2
156,20.0,-81.0,1.2
157,20.0,-75.0,1.2
158,20.0,-64.8,1.2
159,20.0,-60.0,1.2
160,20.0,-54.0,1.2
161,20.0,-45.0,1.2
162,20.0,-35.3,1.2
163,20.0,-30.0,1.2
164,20.0,-25.0,1.2
165,20.0,-17.5,1.2
166,20.0,-15.0,1.2
167,20.0,0.0,1.2
168,20.0,15.0,1.2
169,20.0,17.5,1.2
170,20.0,25.0,1.2
171,20.0,30.0,1.2
172,20.0,35.3,1.2
173,20.0,45.0,1.2
174,20.0,54.0,1.2
175,20.0,60.0,1.2
176,20.0,64.8,1.2
177,20.0,75.0,1.2
178,20.9,-75.0,1.2
179,20.9,-60.0,1.2
180,20.9,-45.0,1.2
181,20.9,-30.0,1.2
182,20.9,-15.0,1.2
183,20.9,0.0,1.2
184,20.9,15.0,1.2
185,20.9,30.0,1.2
186,20.9,45.0,1.2
187,20.9,60.0,1.2
188,20.9,75.0,1.2
189,24.100000000000023,-81.0,1.2
190,24.100000000000023,-54.0,1.2
191,24.100000000000023,-25.0,1.2
192,24.100000000000023,25.0,1.2
193,24.100000000000023,54.0,1.2
194,25.0,-81.0,1.2
195,25.0,-75.0,1.2
196,25.0,-64.8,1.2
197,25.0,-60.0,1.2
198,25.0,-54.0,1.2
199,25.0,-45.0,1.2
200,25.0,-35.3,1.2
201,25.0,-30.0,1.2
202,25.0,-25.0,1.2
203,25.0,-17.5,1.2
204,25.0,-15.0,1.2
205,25.0,0.0,1.2
206,25.0,15.0,1.2
207,25.0,17.5,1.2
208,25.0,25.0,1.2
209,25.0,30.0,1.2
210,25.0,35.3,1.2
211,25.0,45.0,1.2
212,25.0,54.0,1.2
213,25.0,60.0,1.2
214,25.0,64.8,1.2
215,25.0,75.0,1.2
216,26.0,-75.0,1.2
217,26.0,-60.0,1.2
218,26.0,-45.0,1.2
219,26.0,-30.0,1.2
220,26.0,-15.0,1.2
221,26.0,0.0,1.2
222,26.0,15.0,1.2
223,26.0,30.0,1.2
224,26.0,45.0,1.2
225,26.0,60.0,1.2
226,26.0,75.0,1.2
227,26.6,-75.0,1.2
228,26.6,-60.0,1.2
229,26.6,-45.0,1.2
230,26.6,-30.0,1.2
231,26.6,-15.0,1.2
232,26.6,0.0,1.2
233,26.6,15.0,1.2
234,26.6,30.0,1.2
235,26.6,45.0,1.2
236,26.6,60.0,1.2
237,26.6,75.0,1.2
238,27.0,-75.0,1.2
239,27.0,-60.0,1.2
240,27.0,-45.0,1.2
241,27.0,-30.0,1.2
242,27.0,-15.0,1.2
243,27.0,0.0,1.2
244,27.0,15.0,1.2
245,27.0,30.0,1.2
246,27.0,45.0,1.2
247,27.0,60.0,1.2
248,27.0,75.0,1.2
249,27.9,-75.0,1.2
250,27.9,-60.0,1.2
251,27.9,-45.0,1.2
252,27.9,-30.0,1.2
253,27.9,-15.0,1.2
254,27.9,0.0,1.2
255,27.9,15.0,1.2
256,27.9,30.0,1.2
257,27.9,45.0,1.2
258,27.9,60.0,1.2
259,27.9,75.0,1.2
260,30.0,-81.0,1.2
261,30.0,-75.0,1.2
262,30.0,-64.8,1.2
263,30.0,-60.0,1.2
264,30.0,-54.0,1.2
265,30.0,-45.0,1.2
266,30.0,-35.3,1.2
267,30.0,-30.0,1.2
268,30.0,-25.0,1.2
269,30.0,-17.5,1.2
270,30.0,-15.0,1.2
271,30.0,0.0,1.2
272,30.0,15.0,1.2
273,30.0,17.5,1.2
274,30.0,25.0,1.2
275,30.0,30.0,1.2
276,30.0,35.3,1.2
277,30.0,45.0,1.2
278,30.0,54.0,1.2
279,30.0,60.0,1.2
280,30.0,64.8,1.2
281,30.0,75.0,1.2
282,31.69999999999999,-81.0,1.2
283,31.69999999999999,-54.0,1.2
284,31.69999999999999,-25.0,1.2
285,31.69999999999999,25.0,1.2
286,31.69999999999999,54.0,1.2
287,31.7,-75.0,1.2
288,31.7,-60.0,1.2
289,31.7,-45.0,1.2
290,31.7,-30.0,1.2
291,31.7,-15.0,1.2
292,31.7,0.0,1.2
293,31.7,15.0,1.2
294,31.7,30.0,1.2
295,31.7,45.0,1.2
296,31.7,60.0,1.2
297,31.7,75.0,1.2
